Row	CAMC_Name	GND_URI	GND_Name	GND_Land	GND_Gender	GND_Birth	GND_Death	GND_VariantName
1	Aaires, André Abel	NA	not found	NA	0	NA	NA	NA
2	AbdulFattah, Fato M.	NA	not found	NA	0	NA	NA	NA
3	Abel, Karl Friedrich	http://d-nb.info/gnd/118646583	Abel, Carl Friedrich	XA-DE; XA-GB	1	1723	1787	Abel, Karl F.; Abel, Carl F.; Abel, Charles F.; Abel, Carlo F.; Abel, Karl Friedrich; Abel, K. F.; Abel, Carlo Frederico; Abel, Carolo Federico; Abel, C. F.; Abel, Charles Frederic; Abel, Charles Fréderic; Abel, Cha.s Fred.k; Abel, Carl-Friedrich; Abel, Charles Frederick; Abel, C.F.
4	Abrams, Jeffrey Scott	NA	not found	NA	0	NA	NA	NA
5	Accolay, Jean-Baptiste	http://d-nb.info/gnd/123941067	Accolay, Jean B.	XA-FR	1	1845	1910	Accolay, J.-B.; Accolay, Jean Baptiste; Akkolai, Žan Batist; Accolay͏̈, Jean-Baptiste; Accolay, Jean-Batiste; Accolay, J. B.; Accolay͏̈, J.-B.; Akkolai, Chžan-Batist; Accolay͏̈, J. B.; Accolay, Jean-Baptiste; Accolay, Jean Batiste; Akkolai, Zhan Batist
6	Acevedo Rendón, Juan Carlos	NA	not found	NA	0	NA	NA	NA
7	Adam, Adolphe	http://d-nb.info/gnd/11864372X	Adam, Adolphe	XA-FR	1	1803-07-24	1856-05-03	Adam, Adolphe Charles; Adam, ...; Adan, A.; Adan, Adol'f; Adam, Ad.; Adam, Adolphe-Charles; Adam, Charles-Adolphe; Adam, Adolph Ch.; Adam, A. Ch.; Adam, Adolph Carl; Adam, Adolph Karl; Adam, Adolf; Adam, Adolph; Adam, Charles Adolphe; Adam, Adolphe Karl
8	Adams, Arthur D.	NA	not found	NA	0	NA	NA	NA
9	Adams, Sam	NA	not found	NA	0	NA	NA	NA
10	Addou, Iqbal	NA	not found	NA	0	NA	NA	NA
11	Aeschliman, Chad M.	NA	not found	NA	0	NA	NA	NA
12	Agazzari, Agostino	http://d-nb.info/gnd/118877496	Agazzari, Agostino	XA-IT	1	1578	1640	Agazzari, Augustinus
