"CAMC_Name","CAMC_Country","CAMC_Birth","CAMC_Death","CAMC_Count","GND_Count","GND_URI","GND_Name","GND_Country","GND_Gender","GND_Birth","GND_Death","GND_VariantName","Birth","Death","Country"
"Aaires, André Abel","PRT","1987",NA,12,1,NA,"not found",NA,0,NA,NA,NA,"1987",NA,"PRT"
"AbdulFattah, Fato M.",NA,NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Abel, Karl Friedrich","DEU","1723","1787",4,1,"http://d-nb.info/gnd/118646583","Abel, Carl Friedrich","DEU/GBR",1,"1723","1787","Abel, Karl F.; Abel, Carl F.; Abel, Charles F.; Abel, Carlo F.; Abel, Karl Friedrich; Abel, K. F.; Abel, Carlo Frederico; Abel, Carolo Federico; Abel, C. F.; Abel, Charles Frederic; Abel, Charles Fréderic; Abel, Cha.s Fred.k; Abel, Carl-Friedrich; Abel, Charles Frederick; Abel, C.F.","1723","1787","DEU"
"Abrams, Jeffrey Scott","USA","1966",NA,2,1,NA,"not found",NA,0,NA,NA,NA,"1966",NA,"USA"
"Accolay, Jean-Baptiste",NA,"1845","1910",1,1,"http://d-nb.info/gnd/123941067","Accolay, Jean B.","FRA",1,"1845","1910","Accolay, J.-B.; Accolay, Jean Baptiste; Akkolai, Žan Batist; Accolay͏̈, Jean-Baptiste; Accolay, Jean-Batiste; Accolay, J. B.; Accolay͏̈, J.-B.; Akkolai, Chžan-Batist; Accolay͏̈, J. B.; Accolay, Jean-Baptiste; Accolay, Jean Batiste; Akkolai, Zhan Batist","1845","1910","FRA"
"Acevedo Rendón, Juan Carlos","MEX","1983",NA,10,1,NA,"not found",NA,0,NA,NA,NA,"1983",NA,"MEX"
"Adam, Adolphe","FRA","1803","1856",7,1,"http://d-nb.info/gnd/11864372X","Adam, Adolphe","FRA",1,"1803","1856","Adam, Adolphe Charles; Adam, ...; Adan, A.; Adan, Adol'f; Adam, Ad.; Adam, Adolphe-Charles; Adam, Charles-Adolphe; Adam, Adolph Ch.; Adam, A. Ch.; Adam, Adolph Carl; Adam, Adolph Karl; Adam, Adolf; Adam, Adolph; Adam, Charles Adolphe; Adam, Adolphe Karl","1803","1856","FRA"
"Adams, Arthur D.","USA","1991",NA,2,1,NA,"not found",NA,0,NA,NA,NA,"1991",NA,"USA"
"Adams, Sam",NA,"1977",NA,3,1,NA,"not found",NA,0,NA,NA,NA,"1977",NA,NA
"Addou, Iqbal","MAR","1980",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1980",NA,"MAR"
"Aeschliman, Chad M.","USA","1983",NA,5,1,NA,"not found",NA,0,NA,NA,NA,"1983",NA,"USA"
"Agazzari, Agostino","ITA","1578","1640",1,1,"http://d-nb.info/gnd/118877496","Agazzari, Agostino","ITA",1,"1578","1640","Agazzari, Augustinus","1578","1640","ITA"
"Agnesi, Maria Teresa d'","ITA","1720","1795",4,1,"http://d-nb.info/gnd/12155435X","Agnesi, Maria Teresa","ITA",2,"1720","1795","Agnesi Pinottini, Maria Teresa d'; Agnesi-Pinottini, Maria Teresa d'; Agnesi, Maria Teresa d'; Agnesi Pinottini, Maria Teresa; Agnesi, Maria Theresia d'; Agnesi, Pinottini Maria Teresa; Agnesi, Teresa; Pinottini, Maria Teresa d'Agnesi; Agnesi, Maria Teresia","1720","1795","ITA"
"Agrell, Johan Joachim","SWE","1701","1765",4,1,"http://d-nb.info/gnd/122971841","Agrell, Johan","DEU/SWE",1,"1701","1765","Agrell, Johan Joachim; Agrelli, Giovanni; Agrell, Ioannes; Agrell, Giovanni; Agrell, Johann; Agrell, Johann Joachim; Agrelius, Johan; Aggrell, Giovanni; Agrell, Johan J.","1701","1765","SWE"
"Agricola, Alexandre",NA,NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Aguado, Dionisio","ESP","1784","1849",12,1,"http://d-nb.info/gnd/133912027","Aguado y García, Dionisio","ESP",1,"1784","1849","García, Dionisio A. y; Aguado, ...; García, Dionisio Aguado y; Aguado, Dionisio; Aguado, Denis; Aguado, Dionysio; Aguado y García, Dionysio; Aguado, D.; Aguado y Garcìa, Dionisio Tomás Ventura; Aguado y Garcia, Dionysio; Aguado, Dioniso","1784","1849","ESP"
"Ahlefeldt, Elisabeth","DEU","1775","1823",1,1,NA,"not found",NA,0,NA,NA,NA,"1775","1823","DEU"
"Aichinger, Gregor","DEU","1564","1628",1,1,"http://d-nb.info/gnd/118644130","Aichinger, Gregor","DEU",1,"1564","1628","Aichinger, Gregorio","1564","1628","DEU"
"Akhlaghi, Amir Reza Ahadi",NA,"1984",NA,2,1,NA,"not found",NA,0,NA,NA,NA,"1984",NA,NA
"Albinoni, Tomaso Giovanni","ITA","1671","1751",4,1,"http://d-nb.info/gnd/118644300","Albinoni, Tomaso","ITA",1,"1671","1751","Albinoni, ...; Albinoni, Tommaso; Albinoni, Tomaso Giovanni; Albinoni, Tomaso G.; Albinoni, Tomasso; Albioni, Tomaso; Albinoni, Tomasio; Albinoni, T.; Albinonis, T.; Albinoni, Tomaso Giovanni Zuane","1671","1751","ITA"
"Albrechtsberger, Johann Georg","AUT","1736","1809",15,1,"http://d-nb.info/gnd/118501704","Albrechtsberger, Johann Georg","AUT",1,"1736","1809","Albrechtsberger, ...; Albrechtsberger, G.; Albrechtsberger, Johann G.; Albrechtsberger, Joh. Georg; Albrechtsberger, J. Georg; Albrechtsberger, J. G.; Albrechtsberger, I. G.; Albrechtsberger, Georg; Albrekhtsberger, Ĭokhan Georg; Albrechtsberger, Jean Georges","1736","1809","AUT"
"Albéniz, Isaac","ESP","1860","1909",86,1,"http://d-nb.info/gnd/119183366","Albéniz, Isaac","ESP",1,"1860","1909","Albéniz, ...; Albéniz, Isaac M.; Albéniz, Isaac Manuel Francisco; Albéniz y Pascual, Isaac Manuel Francisco; Al'benic, Isaac; Albéniz, I.; Al'benis, I.; Albeniz, Izaak; Albeniz, Isaak; Albéniz, Jsaac; Albéniz, Isaac Manuel Francesco; Albeniz, Isaac","1860","1909","ESP"
"Albéniz, Mateo","ESP",NA,NA,1,1,"http://d-nb.info/gnd/134312074","Albéniz, Mateo Perez de","ESP",1,"1760","1831","Albéniz, Mateo P. de; Albéniz, ...; Albéniz, Mateo; De Albéniz, Mateo; Pérez de Albéniz, Mateo","1760","1831","ESP"
"Alcalde, Bernardo Frederes Krämer","BRA","1983",NA,9,1,NA,"not found",NA,0,NA,NA,NA,"1983",NA,"BRA"
"Alexandrov, Alexandr","RUS","1883","1946",1,1,NA,"not found",NA,0,NA,NA,NA,"1883","1946","RUS"
"Alfonso X (el Sabio)","ESP","1221","1284",1,1,NA,"not found",NA,0,NA,NA,NA,"1221","1284","ESP"
"Alkan, Charles-Valentin","FRA","1813","1888",51,1,"http://d-nb.info/gnd/118814249","Alkan, Charles Henri Valentin","FRA",1,"1813","1888","Morhange, Charles Henri Valentin; Alqân, Šârl W.; Morhange, Charles-Henri V.; Alkan, C. V.; Morhange, Charles Valentin; Alkan, Charles H.; Alkan, Charles; Alkan, Charles V.; Morhange-Alkan, Charles H.; Alkan, Ch. V.; Morhange, Charles; Alkan, Charles Henri; Alkan, Charles-Valentin; Morhange, Valentin; Alkan, Charles Valentin; Alkan, Valentin; Alkan, Carlo-Valentino; Alkan, Charles Henry Valentin","1813","1888","FRA"
"Allegri, Gregorio","ITA","1582","1652",2,1,"http://d-nb.info/gnd/116286857","Allegri, Gregorio","ITA",1,"1582","1652",NA,"1582","1652","ITA"
"Allen, Robert Philip",NA,NA,NA,4,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Allwood, Richard","ENG",NA,NA,2,1,"http://d-nb.info/gnd/1089733399","Allwood, Richard",NA,0,NA,NA,NA,NA,NA,"ENG"
"Ambroise, Paul","FRA","1811","1896",1,1,NA,"not found",NA,0,NA,NA,NA,"1811","1896","FRA"
"Ames, Brian Michael",NA,"1952",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1952",NA,NA
"Ammerbach, Nicolaus",NA,NA,NA,2,1,"http://d-nb.info/gnd/11911139X","Ammerbach, Elias Nikolaus","DEU",1,"1530","1597","Ammerbach, Elias Nicolaus; Ammerbach, Elias N.; Ammerbach, Nicolaus; Amerbach, Elias Nikolaus; Amerbach, Elias Nicolaus; Amerbach, Nicolaus; Amerbachius, Elias Nicolaus; Amorbach, Nicolaus; Amorbach, Elias Nikolaus; Ammorbach, Elias Nicolaus; Ammorbach, Elias Nikolaus; Amorbach, Elias Nicolaus; Amorbach, Nikolaus; Ammerbach, Nikolaus","1530","1597","DEU"
"Anchieta, Juan de","ESP","1462","1523",1,1,"http://d-nb.info/gnd/13473680X","Anchieta, Juan de","ESP",1,"1462","1523","Anchieta, Juan de Anchieta; De Anchieta, Juan","1462","1523","ESP"
"Andersen, Karl Joachim",NA,"1847","1909",26,1,"http://d-nb.info/gnd/116304294","Andersen, Carl Joachim","DNK",1,"1847","1909","Andersen, Karl Joachim; Andersen, Joachim; Andersen, Carl J.; Andersen, Karl J.; Andersen, J.","1847","1909","DNK"
"Anderson, Andrew","USA","1981",NA,3,1,NA,"not found",NA,0,NA,NA,NA,"1981",NA,"USA"
"Anerio, Felice","ITA","1560","1614",3,1,"http://d-nb.info/gnd/122802381","Anerio, Felice","ITA",1,"1560","1614","Anerio, J. F.; Anerius, Felix; Anerius, Felicius; Arnerius, Felix","1560","1614","ITA"
"Anerio, Giovanni Francesco","ITA",NA,NA,6,1,"http://d-nb.info/gnd/12280239X","Anerio, Giovanni Francesco","ITA",0,"1567","1630","Anerio, Giovanni F.; Anerio, G. F.; Anerio, Joannis Franciscus; Anerio, Johann Franciscus; Anerio, Francisco","1567","1630","ITA"
"Ang, Minni K.H.","MYS","1966",NA,4,1,NA,"not found",NA,0,NA,NA,NA,"1966",NA,"MYS"
"Angers, Jean-Philippe","CAN","1982",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1982",NA,"CAN"
"Animuccia, Giovanni","ITA","1514","1571",2,1,"http://d-nb.info/gnd/13513482X","Animuccia, Giovanni","ITA",1,"1520","1571","Animuccia, G.; Animucia, Joanne","1520","1571","ITA"
"Anna Amalia, Princess of Prussia","DEU","1723","1787",1,1,"http://d-nb.info/gnd/118648659","Amalie, Preußen, Prinzessin","DEU",2,"1723","1787","Preußen, Amalie von; Amalia, Preußen, Prinzessin; Anna Amalie, Preußen, Prinzessin; Anna Amalia, Preußen, Prinzessin; Anne Amelie, Preußen, Prinzessin; Amalie, Quedlinburg, Äbtissin; Hohenzollern, Amalie von; Preussen, Amalie von; Hohenzollern, Amalie von, Prinzessin; Amalia, Prinzessin von Preussen; Anne Amelie, Prinzessin von Preussen; Anna Amalie, Prinzessin von Preussen; Preussen, Amalie von, Prinzessin; Anna Amalia, Prinzessin von Preussen; Anna Amalia, von Preussen; Anna Amalia, Princess of Prussia; Amalie, Prinzessin von Preussen; Amalia, von Preussen","1723","1787","DEU"
"Antonelli da Rimini, fra Cornelio","ITA",NA,NA,25,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"ITA"
"Aragon, Leroy B.",NA,"1975",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1975",NA,NA
"Aranés, Juan","ESP",NA,NA,2,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"ESP"
"Arban, Jean-Baptiste","FRA","1825","1889",1,1,"http://d-nb.info/gnd/11936610X","Arban, Jean-Baptiste","FRA",1,"1825","1889","Arban, Joseph Jean-Baptiste Laurent; Arban, Joseph Jean Baptist Laurent; Arban, Jean B.; Arban, Jean Baptiste; Arban, Joseph; Arban, ...; Arban, Zh. B.; Arban, J. B.","1825","1889","FRA"
"Arcadelt, Jacob","FRA","1507","1568",9,1,"http://d-nb.info/gnd/119501716","Arcadelt, Jacob","FRA/NLD",1,"1504","1568","Arkadelt, Jakob; Arcadente, Giovanni; Arcadelt, Giacomo; Archadelt, Jacobus; Arcadelt, J.; Arcadelt, Jacobus; Archadelt, Jacob; Archadelt, Jakob; Archadelth, ...; Arcadet, Jacobus; Hercadelt, Jakob; Jacobus, Flandrus; Arcadet, Gombert; Arcadet, Iacobus; Harcadelt, Jacob; Arcadet, Jacques; Archadet, Jacques; Arcadelt, Jacques; Arcadelt, Jachet; Arcadelt, Jakob","1504","1568","FRA"
"Archer, Frederick","ENG","1838","1901",2,1,"http://d-nb.info/gnd/14140468X","Archer, Frederick","GBR/USA",0,"1838","1901","Archer, Frederic","1838","1901","ENG"
"Archer, Jerald F.","USA","1964",NA,12,1,NA,"not found",NA,0,NA,NA,NA,"1964",NA,"USA"
